periphery,feature,classifier,Acc_%,ROC_%
5,LBP,1NN,89.72789115646258,64.42270531400966
5,LBP,SVM,93.01020408163264,92.66022544283415
5,LBP_C,1NN,90.95238095238095,64.25603864734299
5,LBP_C,SVM,93.01020408163264,92.17874396135265
15,LBP,1NN,89.72789115646258,64.42270531400966
15,LBP,SVM,93.01020408163264,92.80837359098228
15,LBP_C,1NN,90.95238095238095,64.25603864734299
15,LBP_C,SVM,93.01020408163264,92.17874396135265
25,LBP,1NN,89.72789115646258,64.42270531400966
25,LBP,SVM,93.01020408163264,92.80837359098228
25,LBP_C,1NN,90.95238095238095,64.25603864734299
25,LBP_C,SVM,93.01020408163264,92.17874396135265
35,LBP,1NN,89.72789115646258,64.42270531400966
35,LBP,SVM,93.01020408163264,92.80837359098228
35,LBP_C,1NN,90.95238095238095,64.25603864734299
35,LBP_C,SVM,93.01020408163264,92.17874396135265
45,LBP,1NN,89.72789115646258,64.42270531400966
45,LBP,SVM,93.01020408163264,92.80837359098228
45,LBP_C,1NN,90.95238095238095,64.25603864734299
45,LBP_C,SVM,93.01020408163264,92.17874396135265
full,LBP,1NN,89.72789115646258,64.42270531400966
full,LBP,SVM,93.01020408163264,92.80837359098228
full,LBP_C,1NN,90.95238095238095,64.25603864734299
full,LBP_C,SVM,93.01020408163264,92.17874396135265
